ensembl_gene_id	chromosome_name	start_position	end_position	description	external_gene_name
ENSG00000206535	3	100401192	100457563	leukemia NUP98 fusion partner 1 [Source:HGNC Symbol;Acc:HGNC:28014]	LNP1
ENSG00000206538	3	86876388	86991149	vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327]	VGLL3
ENSG00000206559	3	28348721	28538122	zinc finger CW-type and PWWP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23574]	ZCWPW2
ENSG00000206560	3	15667236	15859771	ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29024]	ANKRD28
ENSG00000206561	3	15450132	15521928	collagen like tail subunit of asymmetric acetylcholinesterase [Source:HGNC Symbol;Acc:HGNC:2226]	COLQ
ENSG00000206562	3	15381061	15440566	methyltransferase 6, tRNA N3-cytidine [Source:HGNC Symbol;Acc:HGNC:28343]	METTL6
ENSG00000206567	3	10004048	10011209	novel transcript	
ENSG00000206573	3	9349689	9398625	THUMPD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44478]	THUMPD3-AS1
ENSG00000207607	1	1167863	1167952	microRNA 200a [Source:HGNC Symbol;Acc:HGNC:31578]	MIR200A
ENSG00000207730	1	1167104	1167198	microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579]	MIR200B
ENSG00000211456	3	45689056	45745425	SAC1 like phosphatidylinositide phosphatase [Source:HGNC Symbol;Acc:HGNC:17059]	SACM1L
ENSG00000211460	2	121737103	121767853	translin [Source:HGNC Symbol;Acc:HGNC:12379]	TSN
ENSG00000212283	2	101272936	101273049	small nucleolar RNA, C/D box 89 [Source:HGNC Symbol;Acc:HGNC:32750]	SNORD89
ENSG00000212916	1	232805416	232809929	microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265]	MAP10
ENSG00000213036	1	214482813	214483387	adaptor-related protein complex 3 pseudogene	
ENSG00000213047	1	197504748	197775706	DENN domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28404]	DENND1B
ENSG00000213058	1	178411616	178411972	ribosomal protein S14 (RPS14) pseudogene	
ENSG00000213062	1	169486072	169500182	novel transcript	
ENSG00000213064	1	168225938	168253021	SFT2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25140]	SFT2D2
ENSG00000213080	1	160894980	160896076	spermine synthase (SMS) pseudogene	
ENSG00000213085	1	159872364	159900165	cilia and flagella associated protein 45 [Source:HGNC Symbol;Acc:HGNC:17229]	CFAP45
ENSG00000213110	2	189930277	189931010	ring finger protein 11 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33988]	RNF11P1
ENSG00000213123	3	196291219	196318310	dynein light chain Tctex-type 2B [Source:HGNC Symbol;Acc:HGNC:28482]	DYNLT2B
ENSG00000213139	3	186538441	186546702	crystallin gamma S [Source:HGNC Symbol;Acc:HGNC:2417]	CRYGS
ENSG00000213160	2	169694488	169776989	kelch like family member 23 [Source:HGNC Symbol;Acc:HGNC:27506]	KLHL23
ENSG00000213186	3	160432445	160485773	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	TRIM59
ENSG00000213190	1	151057871	151069544	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	MLLT11
ENSG00000213197	2	152389937	152390630	nuclear distribution C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8046]	NUDCP1
ENSG00000213222	2	131723253	131724279	TOMM40 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:54633]	TOMM40P4
ENSG00000213225	2	130229379	130231613	NOC2 like nucleolar associated transcriptional repressor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52285]	NOC2LP1
ENSG00000213236	2	126557435	126558162	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31078]	YWHAZP2
ENSG00000213281	1	114704469	114716771	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	NRAS
ENSG00000213300	3	75214631	75215636	heterogeneous nuclear ribonucleoprotein A3 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:48495]	HNRNPA3P6
ENSG00000213337	2	96836611	96858016	ankyrin repeat domain 39 [Source:HGNC Symbol;Acc:HGNC:28640]	ANKRD39
ENSG00000213366	1	109667348	109709551	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	GSTM2
ENSG00000213383	3	17871729	17872598	pyrophosphatase (inorganic) 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:28884]	PP1P
ENSG00000213399	2	84915868	84916660	ribosomal protein S2 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:35764]	RPS2P17
ENSG00000213406	4	153307792	153308717	annexin A2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:538]	ANXA2P1
ENSG00000213453	2	27392784	27393367	ferritin heavy chain 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:3990]	FTH1P3
ENSG00000213516	1	88979456	88992960	RBMX like 1 [Source:HGNC Symbol;Acc:HGNC:25073]	RBMXL1
ENSG00000213533	3	52836219	52897578	STIM activating enhancer [Source:HGNC Symbol;Acc:HGNC:30526]	STIMATE
ENSG00000213553	2	38481851	38482804	ribosomal protein lateral stalk subunit P0 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36404]	RPLP0P6
ENSG00000213625	1	65420587	65436007	leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477]	LEPROT
ENSG00000213626	2	30231534	30323730	LBH regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:29532]	LBH
ENSG00000213639	2	28751562	28802940	protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]	PPP1CB
ENSG00000213672	3	48673841	48686364	NCK interacting protein with SH3 domain [Source:HGNC Symbol;Acc:HGNC:15486]	NCKIPSD
ENSG00000213699	2	26764240	26781231	solute carrier family 35 member F6 [Source:HGNC Symbol;Acc:HGNC:26055]	SLC35F6
ENSG00000213851	4	43410041	43410937	ribosomal protein S2 (RPS2) pseudogene	
ENSG00000213901	2	219161465	219170095	solute carrier family 23 member 3 [Source:HGNC Symbol;Acc:HGNC:20601]	SLC23A3
ENSG00000213917	2	214280638	214281452	ribosomal protein L5 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:36290]	RPL5P8
ENSG00000213963	2	177271125	177392699	novel transcript	
ENSG00000214021	3	9808086	9855138	tubulin tyrosine ligase like 3 [Source:HGNC Symbol;Acc:HGNC:24483]	TTLL3
ENSG00000214114	1	38862493	38873378	MYC binding protein [Source:HGNC Symbol;Acc:HGNC:7554]	MYCBP
ENSG00000214144	1	247229940	247231880	heat shock 70kDa protein 8 (HSPA8) pseudogene	
ENSG00000214145	3	194200261	194324520	long intergenic non-protein coding RNA 887 [Source:HGNC Symbol;Acc:HGNC:48574]	LINC00887
ENSG00000214147	3	190830965	190832173	ENAH pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56618]	ENAHP1
ENSG00000214160	3	184242301	184249548	ALG3 alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]	ALG3
ENSG00000214192	3	175718231	175718670	UBE2V1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32648]	UBE2V1P2
ENSG00000214193	1	36306368	36329340	SH3 domain containing 21 [Source:HGNC Symbol;Acc:HGNC:26236]	SH3D21
ENSG00000214199	2	106697331	106698676	eukaryotic translation elongation factor 1 alpha 1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:3195]	EEF1A1P12
ENSG00000214301	3	133490824	133491505	MAF1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56527]	MAF1P1
ENSG00000214367	4	2227464	2242133	HAUS augmin like complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28719]	HAUS3
ENSG00000214407	3	101868657	101997926	RIG-I dependent antiviral response regulator RNA [Source:HGNC Symbol;Acc:HGNC:27190]	RDUR
ENSG00000214595	2	54723499	54972025	EMAP like 6 [Source:HGNC Symbol;Acc:HGNC:35412]	EML6
ENSG00000214657	2	15869939	15870243	ribosomal protein lateral stalk subunit P1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:35842]	RPLP1P5
ENSG00000214694	2	38889875	38975454	Rho guanine nucleotide exchange factor 33 [Source:HGNC Symbol;Acc:HGNC:37252]	ARHGEF33
ENSG00000214706	3	50287732	50292918	interferon related developmental regulator 2 [Source:HGNC Symbol;Acc:HGNC:5457]	IFRD2
ENSG00000214711	2	31173056	31234011	calpain 14 [Source:HGNC Symbol;Acc:HGNC:16664]	CAPN14
ENSG00000214820	3	44579938	44581026	myosin phosphatase Rho interacting protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44594]	MPRIPP1
ENSG00000214821	2	170601662	170602228	high mobility group box 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:4996]	HMGB1P4
ENSG00000214842	2	17510579	17518440	RAD51 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:34417]	RAD51AP2
ENSG00000215717	1	109090367	109096935	transmembrane protein 167B [Source:HGNC Symbol;Acc:HGNC:30187]	TMEM167B
ENSG00000215788	1	6460786	6466181	TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910]	TNFRSF25
ENSG00000215840	1	161406068	161407082	ribosomal protein S2 (RPS2) pseudogene	
ENSG00000215845	1	161037631	161038977	thiosulfate sulfurtransferase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:35410]	TSTD1
ENSG00000215853	1	152153595	152159228	repetin [Source:HGNC Symbol;Acc:HGNC:26809]	RPTN
ENSG00000215875	1	81721693	81723068	ST13, Hsp70 interacting protein pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:38863]	ST13P20
ENSG00000215883	1	54169651	54200073	cytochrome b5 reductase like [Source:HGNC Symbol;Acc:HGNC:32220]	CYB5RL
ENSG00000215887	1	49841821	49846400	zinc finger protein 859, pseudogene [Source:HGNC Symbol;Acc:HGNC:34507]	ZNF859P
ENSG00000215895	1	38708931	38710890	HSPA5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54532]	HSPA5P1
ENSG00000215899	1	31487589	31488930	eukaryotic translation elongation factor 1 alpha 1 pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:56203]	EEF1A1P46
ENSG00000215915	1	1449689	1470163	ATPase family AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]	ATAD3C
ENSG00000216921	2	241893988	241902551	family with sequence similarity 240 member C [Source:HGNC Symbol;Acc:HGNC:54200]	FAM240C
ENSG00000217801	1	1063079	1069355	protein tyrosine phosphatase non-receptor type 11B, pseudogene [Source:HGNC Symbol;Acc:HGNC:58112]	PTPN11BP
ENSG00000218175	2	176200908	176201252	ribosomal protein, large, P1 (RPLP1) pseudogene	
ENSG00000218283	1	220253570	220254536	mortality factor 4 like 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20400]	MORF4L1P1
ENSG00000218336	4	182143918	182803024	teneurin transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:29944]	TENM3
ENSG00000218416	2	240449315	240456760	GPC1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56102]	GPC1-AS1
ENSG00000218739	2	37191473	37216555	CEBPZ opposite strand [Source:HGNC Symbol;Acc:HGNC:49288]	CEBPZOS
ENSG00000219201	1	77810861	77811781	novel pseudogene	
ENSG00000219481	1	16562319	16613562	NBPF member 1 [Source:HGNC Symbol;Acc:HGNC:26088]	NBPF1
ENSG00000219626	2	24076526	24169642	family with sequence similarity 228 member B [Source:HGNC Symbol;Acc:HGNC:24736]	FAM228B
ENSG00000221823	2	68178857	68256237	protein phosphatase 3 regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	PPP3R1
ENSG00000221843	2	27537386	27582722	SPATA31 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:25275]	SPATA31H1
ENSG00000221849	2	103527620	103529261	zinc finger protein 547 (ZNF547) pseudogene	
ENSG00000221883	3	48917788	48919385	ARIH2 opposite strand lncRNA [Source:HGNC Symbol;Acc:HGNC:34425]	ARIH2OS
ENSG00000221955	3	125082636	125213229	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	SLC12A8
ENSG00000221978	1	1385711	1399339	cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]	CCNL2
ENSG00000221986	1	109292363	109307213	myosin binding protein H like [Source:HGNC Symbol;Acc:HGNC:30434]	MYBPHL
ENSG00000222005	2	46698940	46913231	long intergenic non-protein coding RNA 1118 [Source:HGNC Symbol;Acc:HGNC:49261]	LINC01118
ENSG00000222009	1	44808523	44817381	BTB domain containing 19 [Source:HGNC Symbol;Acc:HGNC:27145]	BTBD19
ENSG00000222020	2	239401132	239402657	HDAC4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54064]	HDAC4-AS1
ENSG00000222041	2	87454781	87636740	cytoskeleton regulator RNA [Source:HGNC Symbol;Acc:HGNC:28717]	CYTOR
ENSG00000222043	2	177264359	177265515	novel transcript	
ENSG00000223427	2	80162428	80163135	RBM7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54704]	RBM7P1
ENSG00000223529	3	184026369	184027756	eukaryotic translation elongation factor 1 alpha 1 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:3203]	EEF1A1P8
ENSG00000223653	1	85276388	85448124	BCL10 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55868]	BCL10-AS1
ENSG00000223668	3	39358545	39359922	eukaryotic translation elongation factor 1 alpha 1 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:37897]	EEF1A1P24
ENSG00000223715	3	176415439	176867838	long intergenic non-protein coding RNA 1208 [Source:HGNC Symbol;Acc:HGNC:49639]	LINC01208
ENSG00000223725	2	207186401	207529820	MYOSLID antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54063]	MYOSLID-AS1
ENSG00000223734	2	20051800	20072587	LAPTM4A divergent transcript [Source:HGNC Symbol;Acc:HGNC:54382]	LAPTM4A-DT
ENSG00000223745	1	93262186	93346025	CCDC18 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52262]	CCDC18-AS1
ENSG00000223825	2	202201384	202201886	DAZ associated protein 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43869]	DAZAP2P1
ENSG00000223863	2	64486353	64500904	long intergenic non-protein coding RNA 1805 [Source:HGNC Symbol;Acc:HGNC:52597]	LINC01805
ENSG00000223874	2	216694404	217336120	testicular germ cell expressed HSF2 interacting lncRNA [Source:HGNC Symbol;Acc:HGNC:52740]	TESHL
ENSG00000223935	2	64395060	64454619	LGALSL divergent transcript [Source:HGNC Symbol;Acc:HGNC:53951]	LGALSL-DT
ENSG00000223947	2	100993676	101002244	novel transcript	
ENSG00000223960	2	178413476	178442854	cholesterol induced regulator of metabolism RNA [Source:HGNC Symbol;Acc:HGNC:54059]	CHROMR
ENSG00000223962	2	148863564	148863804	ubiquitin B pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:12466]	UBBP3
ENSG00000223965	3	31794470	31796175	zinc finger protein 587 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:42438]	ZNF587P1
ENSG00000224043	2	134726784	134918739	CCNT2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40130]	CCNT2-AS1
ENSG00000224048	2	150612381	150635818	long intergenic non-protein coding RNA 2612 [Source:HGNC Symbol;Acc:HGNC:54067]	LINC02612
ENSG00000224051	1	1324756	1328897	ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]	CPTP
ENSG00000224063	2	187003220	187556288	CALCRL and TFPI antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55863]	CALCRL-AS1
ENSG00000224080	3	37143512	37143958	UBE2F pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44535]	UBE2FP1
ENSG00000224094	3	45159774	45160175	ribosomal protein S24 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:37016]	RPS24P8
ENSG00000224114	1	206695837	206696269	ribosomal protein S14 (RPS14) pseudogene	
ENSG00000224152	2	159615292	159618637	BAZ2B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55862]	BAZ2B-AS1
ENSG00000224165	2	24971360	25039716	DNAJC27 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42943]	DNAJC27-AS1
ENSG00000224237	3	27214816	27215018	MICOS10 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44093]	MICOS10P3
ENSG00000224259	1	159941373	160025027	long intergenic non-protein coding RNA 1133 [Source:HGNC Symbol;Acc:HGNC:49447]	LINC01133
ENSG00000224260	1	209516746	209567795	novel transcript	
ENSG00000224261	1	160266340	160267225	ribosomal protein SA pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:36106]	RPSAP18
ENSG00000224308	1	152930040	152949210	long intergenic non-protein coding RNA 1527 [Source:HGNC Symbol;Acc:HGNC:51266]	LINC01527
ENSG00000224337	2	149320593	149321436	family with sequence similarity 8 member A3, pseudogene [Source:HGNC Symbol;Acc:HGNC:16374]	FAM8A3P
ENSG00000224376	2	231388976	231395125	novel transcript	
ENSG00000224387	1	2492300	2493258	novel transcript	
ENSG00000224424	3	48847572	48897568	PRKAR2A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40471]	PRKAR2A-AS1
ENSG00000224536	1	201507191	201584527	CSRP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55856]	CSRP1-AS1
ENSG00000224592	1	38031125	38119530	MIR3659 host gene [Source:HGNC Symbol;Acc:HGNC:54306]	MIR3659HG
ENSG00000224614	3	195908076	195913986	TNK2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49093]	TNK2-AS1
ENSG00000224652	3	196141940	196193538	long intergenic non-protein coding RNA 885 [Source:HGNC Symbol;Acc:HGNC:48571]	LINC00885
ENSG00000224660	3	15254184	15264515	SH3BP5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44501]	SH3BP5-AS1
ENSG00000224687	1	178090677	178094444	RASAL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44170]	RASAL2-AS1
ENSG00000224699	1	110347116	110443817	LAMTOR5 and SLC16A4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40823]	LAMTOR5-AS1
ENSG00000224769	3	195614947	195620233	mucin 20, cell surface associated pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51921]	MUC20P1
ENSG00000224789	2	120162655	120216544	novel transcript	
ENSG00000224831	3	149982181	149983308	transmembrane protein 183B, pseudogene [Source:HGNC Symbol;Acc:HGNC:33205]	TMEM183BP
ENSG00000224858	3	37016523	37017014	ribosomal protein L29 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:36905]	RPL29P11
ENSG00000224870	1	1399476	1402054	MRPL20 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27125]	MRPL20-AS1
ENSG00000224985	1	161140944	161159418	novel transcript	
ENSG00000225094	4	109553243	109554094	SET pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:42939]	SETP20
ENSG00000225099	1	42903232	42903912	ATPase H+ transporting V1 subunit E1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:859]	ATP6V1E1P1
ENSG00000225169	1	100213293	100213670	brain protein I3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33533]	BRI3P1
ENSG00000225234	2	3481242	3482409	TRAPPC12 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41046]	TRAPPC12-AS1
ENSG00000225265	1	222589825	222593843	TAF1A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40573]	TAF1A-AS1
ENSG00000225279	1	160062461	160080852	novel transcript	
ENSG00000225285	1	1429194	1435625	long intergenic non-protein coding RNA 1770 [Source:HGNC Symbol;Acc:HGNC:52560]	LINC01770
ENSG00000225313	1	33307348	33349245	novel transcript	
ENSG00000225333	1	39718028	39718595	novel pseudogene	
ENSG00000225356	4	181522666	181523001	epithelial cell adhesion molecule (EPCAM) pseudo	
ENSG00000225439	2	74147044	74156983	BOLA3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:42922]	BOLA3-DT
ENSG00000225518	1	226083478	226090465	long intergenic non-protein coding RNA 1703 [Source:HGNC Symbol;Acc:HGNC:52491]	LINC01703
ENSG00000225526	3	12514934	12561059	MKRN2 opposite strand [Source:HGNC Symbol;Acc:HGNC:40375]	MKRN2OS
ENSG00000225556	1	151837818	151840557	C2 calcium dependent domain containing 4D [Source:HGNC Symbol;Acc:HGNC:37210]	C2CD4D
ENSG00000225558	3	37134658	37135102	ubiquitin conjugating enzyme E2 D3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39010]	UBE2D3P2
ENSG00000225611	3	42770562	42773795	CCDC13 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:53019]	CCDC13-AS2
ENSG00000225616	1	28982278	28982608	ribosomal protein L27 (RPL27) pseudogene	
ENSG00000225630	1	629640	630683	MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129]	MTND2P28
ENSG00000225662	3	62779176	62779785	ribosomal protein L14 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:35962]	RPL14P2
ENSG00000225671	1	50405430	50406024	FCF1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:44618]	FCF1P6
ENSG00000225697	3	48625718	48635493	solute carrier family 26 member 6 [Source:HGNC Symbol;Acc:HGNC:14472]	SLC26A6
ENSG00000225733	3	14920347	14948424	FGD5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40410]	FGD5-AS1
ENSG00000225764	3	190120219	190321535	P3H2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40886]	P3H2-AS1
ENSG00000225787	2	85102389	85102694	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44348]	LSM3P3
ENSG00000225828	1	32361270	32364278	family with sequence similarity 229 member A [Source:HGNC Symbol;Acc:HGNC:44652]	FAM229A
ENSG00000225854	1	26326688	26327033	ribosomal protein L34 (RPL34) pseudogene	
ENSG00000225855	1	155316856	155324385	RUSC1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26680]	RUSC1-AS1
ENSG00000225880	1	586945	827989	long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]	LINC00115
ENSG00000225886	1	27669468	27703063	novel transcript, antisense to IFI6	
ENSG00000225891	1	26429548	26473892	DHDDS antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40925]	DHDDS-AS1
ENSG00000225953	2	199457671	199477035	SATB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26490]	SATB2-AS1
ENSG00000225972	1	629062	629433	MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092]	MTND1P23
ENSG00000226015	1	147203276	147204932	chaperonin containing TCP1 subunit 8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35144]	CCT8P1
ENSG00000226067	1	120912108	121014953	long intergenic non-protein coding RNA 623 [Source:HGNC Symbol;Acc:HGNC:44252]	LINC00623
ENSG00000226121	2	161500885	161507705	AT-hook containing transcription factor 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:24620]	AHCTF1P1
ENSG00000226124	2	199760544	199851207	formiminotransferase cyclodeaminase N-terminal like [Source:HGNC Symbol;Acc:HGNC:48661]	FTCDNL1
ENSG00000226125	2	230690065	230711470	long intergenic non-protein coding RNA 1907 [Source:HGNC Symbol;Acc:HGNC:52726]	LINC01907
ENSG00000226213	2	152876820	152877767	ubiquilin 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38662]	UBQLN4P2
ENSG00000226266	2	159635077	159712953	novel transcript	
ENSG00000226312	2	201140278	201157823	CFLAR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:14437]	CFLAR-AS1
ENSG00000226349	1	225685879	225777748	novel transcript	
ENSG00000226360	3	61742455	61743106	ribosomal protein L10a pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36504]	RPL10AP6
ENSG00000226383	2	156010644	156320306	long intergenic non-protein coding RNA 1876 [Source:HGNC Symbol;Acc:HGNC:52695]	LINC01876
ENSG00000226415	1	76699789	76700538	triosephosphate isomerase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35449]	TPI1P1
ENSG00000226419	1	112849483	113047059	SLC16A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49445]	SLC16A1-AS1
ENSG00000226479	2	120217479	120223400	transmembrane protein 185B [Source:HGNC Symbol;Acc:HGNC:18896]	TMEM185B
ENSG00000226564	2	180872867	180873414	ferritin heavy chain 1 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:37639]	FTH1P20
ENSG00000226565	1	207150205	207150281	signal recognition particle 72kDa (SRP72) pseudogene	
ENSG00000226666	2	221961737	221963765	heat shock protein family A (Hsp70) member 9 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:24915]	HSPA9P1
ENSG00000226723	1	192246708	192247487	pseudogene similar to ATP-binding cassette, sub-family E (OABP), member (ABCE1)	
ENSG00000226754	1	53238537	53246482	MAGOH divergent transcript [Source:HGNC Symbol;Acc:HGNC:49539]	MAGOH-DT
ENSG00000226789	2	127247258	127250082	WBP11 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54786]	WBP11P2
ENSG00000226804	1	44150594	44151753	zinc finger protein 146 (ZNF146) pseudogene	
ENSG00000226833	2	28689610	28751776	PPP1CB divergent transcript [Source:HGNC Symbol;Acc:HGNC:55829]	PPP1CB-DT
ENSG00000226835	1	94246951	94411036	ARHGAP29 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54311]	ARHGAP29-AS1
ENSG00000226845	3	40596207	40597494	eukaryotic translation elongation factor 1 gamma pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44558]	EEF1GP3
ENSG00000226853	2	174487295	174488695	GPR155 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55827]	GPR155-DT
ENSG00000226856	2	118124351	118224018	testis associated oncogenic lncRNA [Source:HGNC Symbol;Acc:HGNC:53788]	THORLNC
ENSG00000226878	2	159056005	159056859	glutathione S-transferase mu 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38006]	GSTM3P2
ENSG00000226889	1	161748537	161766488	ATF6 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55826]	ATF6-DT
ENSG00000226945	1	206907619	206908229	ribosomal protein L13a pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:36966]	RPL13AP8
ENSG00000226950	4	52712325	52723623	differentiation antagonizing non-protein coding RNA [Source:HGNC Symbol;Acc:HGNC:28964]	DANCR
ENSG00000226970	1	84244334	84244577	NEDD8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54555]	NEDD8P1
ENSG00000226984	1	114459934	114460360	ribosomal protein L26 (RPL26) pseudogene	
ENSG00000227001	1	21424625	21427967	NBPF member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:31987]	NBPF2P
ENSG00000227070	1	51518140	51600571	EPS15 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40219]	EPS15-AS1
ENSG00000227124	3	75678660	75785591	zinc finger protein 717 [Source:HGNC Symbol;Acc:HGNC:29448]	ZNF717
ENSG00000227210	2	19990165	20004823	WDR35 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55818]	WDR35-DT
ENSG00000227241	2	178105637	178105753	peroxiredoxin 5 (PRDX5) pseudogene	
